CorrectClone	OldClone	matched_mother	matched_father
26798	26274	4593	2393
26802	26278	4593	2393
26817	26293	4593	2393
26826	26302	4593	2393
26828	26304	4593	2393
24716	24716	1863	2515
24717	24717	1863	2515
24718	24718	1863	2515
24719	24719	1863	2515
24720	24720	1863	2515
24721	24721	1863	2515
24722	24722	1863	2515
24723	24723	1863	2515
24724	24724	1863	2515
24725	24725	1863	2515
24726	24726	1863	2515
24727	24727	1863	2515
25252	24728	1863	2515
25253	24729	1863	2515
25254	24730	1863	2515
25255	24731	1863	2515
25256	24732	1863	2515
25258	24734	1863	2515
27088	26564	1863	2515
27089	26565	1863	2515
27090	26566	1863	2515
27091	26567	1863	2515
27094	26570	1863	2515
27096	26572	1863	2515
27097	26573	1863	2515
27098	26574	1863	2515
27099	26575	1863	2515
27101	26577	1863	2515
27102	26578	1863	2515
27105	26581	1863	2515
27108	26584	1863	2515
27111	26587	1863	2515
27113	26589	1863	2515
27115	26591	1863	2515
27116	26592	1863	2515
27117	26593	1863	2515
25846	25322	1909	2515
25849	25325	1909	2515
25856	25332	1909	2515
25858	25334	1909	2515
25860	25336	1909	2515
25863	25339	1909	2515
26027	25503	1909	2515
26028	25504	1909	2515
26029	25505	1909	2515
26030	25506	1909	2515
26031	25507	1909	2515
26033	25509	1909	2515
26034	25510	1909	2515
26035	25511	1909	2515
26036	25512	1909	2515
26037	25513	1909	2515
26038	25514	1909	2515
27503	26979	1909	2515
25406	24882	1950	2515
25407	24883	1950	2515
25408	24884	1950	2515
25409	24885	1950	2515
25415	24891	1950	2515
25416	24892	1950	2515
25418	24894	1950	2515
25420	24896	1950	2515
25421	24897	1950	2515
25423	24899	1950	2515
25425	24901	1950	2515
25426	24902	1950	2515
25427	24903	1950	2515
25429	24905	1950	2515
25431	24907	1950	2515
25432	24908	1950	2515
25433	24909	1950	2515
25435	24911	1950	2515
26187	25663	2048	2515
26190	25666	2048	2515
26191	25667	2048	2515
26194	25670	2048	2515
26196	25672	2048	2515
26197	25673	2048	2515
26198	25674	2048	2515
26201	25677	2048	2515
26203	25679	2048	2515
26208	25684	2048	2515
26209	25685	2048	2515
26212	25688	2048	2515
26215	25691	2048	2515
26216	25692	2048	2515
26221	25697	2048	2515
26223	25699	2048	2515
26224	25700	2048	2515
26226	25702	2048	2515
25865	25341	2066	2515
25867	25343	2066	2515
25870	25346	2066	2515
25887	25363	2066	2515
25889	25365	2066	2515
25893	25369	2066	2515
25894	25370	2066	2515
26890	26366	2066	2515
26893	26369	2066	2515
26897	26373	2066	2515
26902	26378	2066	2515
26904	26380	2066	2515
26909	26385	2066	2515
26910	26386	2066	2515
26912	26388	2066	2515
26916	26392	2066	2515
26919	26395	2066	2515
26390	25866	2283	2515
26574	26050	2283	2515
27368	26844	2283	2515
27369	26845	2283	2515
27370	26846	2283	2515
27376	26852	2283	2515
27378	26854	2283	2515
27379	26855	2283	2515
27381	26857	2283	2515
27384	26860	2283	2515
27385	26861	2283	2515
27387	26863	2283	2515
27392	26868	2283	2515
27396	26872	2283	2515
27397	26873	2283	2515
27398	26874	2283	2515
27402	26878	2283	2515
27405	26881	2283	2515
27406	26882	2283	2515
25744	25220	4593	2515
25745	25221	4593	2515
25746	25222	4593	2515
25747	25223	4593	2515
25748	25224	4593	2515
25749	25225	4593	2515
25750	25226	4593	2515
25751	25227	4593	2515
25752	25228	4593	2515
25753	25229	4593	2515
25754	25230	4593	2515
26522	25998	1863	2572
25326	24802	1909	2572
25328	24804	1909	2572
25329	24805	1909	2572
25330	24806	1909	2572
25333	24809	1909	2572
25334	24810	1909	2572
25335	24811	1909	2572
25336	24812	1909	2572
25341	24817	1909	2572
25342	24818	1909	2572
25347	24823	1909	2572
25349	24825	1909	2572
25352	24828	1909	2572
25354	24830	1909	2572
25355	24831	1909	2572
25357	24833	1909	2572
25358	24834	1909	2572
27522	26998	1909	2572
25437	24913	1950	2572
25438	24914	1950	2572
25439	24915	1950	2572
25442	24918	1950	2572
25445	24921	1950	2572
25448	24924	1950	2572
25450	24926	1950	2572
25457	24933	1950	2572
25458	24934	1950	2572
25459	24935	1950	2572
25461	24937	1950	2572
25462	24938	1950	2572
25463	24939	1950	2572
25464	24940	1950	2572
25466	24942	1950	2572
25470	24946	1950	2572
25472	24948	1950	2572
25473	24949	1950	2572
26227	25703	2048	2572
26230	25706	2048	2572
26231	25707	2048	2572
26232	25708	2048	2572
26235	25711	2048	2572
26236	25712	2048	2572
26237	25713	2048	2572
26239	25715	2048	2572
26240	25716	2048	2572
26242	25718	2048	2572
26243	25719	2048	2572
26244	25720	2048	2572
26246	25722	2048	2572
26248	25724	2048	2572
26251	25727	2048	2572
